12.22,0.77,18.83,1.27
12.22,0.76,18.84,1.28
12.23,0.76,18.84,1.29
12.23,0.75,18.84,1.29
12.24,0.75,18.85,1.29
12.24,0.74,18.85,1.3
12.24,0.73,18.85,1.31
12.25,0.73,18.86,1.31
12.25,0.72,18.86,1.32
12.25,0.72,18.86,1.32
12.25,0.71,18.86,1.33
12.25,0.71,18.87,1.34
12.26,0.7,18.88,1.34
12.26,0.69,18.89,1.36
12.27,0.68,18.9,1.37
12.27,0.67,18.91,1.38
12.28,0.66,18.92,1.4
12.28,0.66,18.94,1.41
12.28,0.65,18.95,1.43
12.29,0.65,18.96,1.44
12.29,0.64,18.97,1.46
12.3,0.63,18.98,1.47
12.3,0.62,19,1.49
12.3,0.6,19,1.5
12.3,0.59,19.01,1.51
12.3,0.57,19.02,1.52
12.3,0.56,19.03,1.53
12.3,0.55,19.04,1.54
12.3,0.53,19.05,1.55
12.3,0.52,19.06,1.56
12.3,0.51,19.08,1.58
12.29,0.5,19.09,1.59
12.29,0.49,19.1,1.6
12.29,0.48,19.11,1.62
12.29,0.47,19.12,1.63
12.29,0.46,19.13,1.64
12.28,0.45,19.14,1.65
12.28,0.43,19.15,1.66
12.28,0.42,19.17,1.67
12.28,0.4,19.18,1.69
12.27,0.39,19.19,1.7
12.27,0.38,19.2,1.71
12.27,0.38,19.2,1.72
12.26,0.37,19.19,1.79
12.26,0.37,19.16,1.88
12.25,0.37,19.16,1.87
12.25,0.37,19.17,1.85
12.24,0.36,19.17,1.81
12.24,0.36,19.08,1.87
12.24,0.36,19.06,1.88
12.24,0.36,19.07,1.79
12.24,0.35,19.08,1.68
12.23,0.35,19.08,1.54
12.23,0.34,19.07,1.37
12.23,0.34,19.05,1.2
12.22,0.34,19.01,0.99
12.22,0.34,18.96,0.76
12.22,0.33,18.88,0.5
12.22,0.33,18.78,0.2
12.21,0.33,18.65,-0.13
12.21,0.32,18.51,-0.48
12.21,0.32,18.37,-0.86
12.21,0.32,18.24,-1.25
12.2,0.32,18.12,-1.63
12.2,0.32,18.02,-1.97
12.2,0.32,17.94,-2.28
12.2,0.33,17.88,-2.56
12.19,0.34,17.88,-2.82
12.19,0.35,17.41,-3.18
12.19,0.36,17.5,-3.39
12.18,0.37,17.4,-3.58
12.18,0.38,17.36,-3.76
12.17,0.39,17.37,-4
12.16,0.4,17.59,-4.16
12.16,0.4,17.83,-4.31
12.15,0.4,18.08,-4.47
12.15,0.41,18.57,-4.59
12.15,0.41,18.82,-4.77
12.14,0.42,19.05,-4.96
12.13,0.43,19.27,-5.16
12.13,0.44,19.49,-5.39
12.13,0.45,19.7,-5.61
12.13,0.46,19.89,-5.81
12.12,0.46,20.08,-6.02
12.12,0.46,20.27,-6.24
12.12,0.47,20.46,-6.46
12.11,0.47,20.64,-6.72
12.11,0.48,20.8,-7
12.11,0.49,20.93,-7.32
12.11,0.49,21.04,-7.68
12.11,0.5,21.11,-8.04
12.1,0.51,21.15,-8.38
12.1,0.53,21.19,-8.76
12.09,0.57,21.21,-9.16
12.08,0.59,21.22,-9.54
12.08,0.6,21.24,-9.93
12.08,0.61,21.26,-10.35
12.08,0.63,21.22,-10.74
12.08,0.65,21.37,-11.13
12.04,0.66,21.34,-11.56
11.99,0.66,21.27,-12
11.92,0.67,21.19,-12.46
11.86,0.64,21.11,-12.91
11.82,0.6,21.03,-13.3
11.8,0.56,20.92,-13.65
11.81,0.53,20.8,-14
11.83,0.5,21.08,-14.22
11.85,0.47,20.91,-14.64
11.88,0.44,20.7,-15.08
11.92,0.43,20.46,-15.53
11.98,0.43,20.2,-15.99
12.03,0.41,19.93,-16.44
12.11,0.42,19.62,-16.89
12.21,0.44,19.27,-17.34
12.33,0.49,18.9,-17.78
12.45,0.55,18.52,-18.22
12.58,0.65,18.14,-18.66
12.71,0.79,17.73,-19.06
12.86,0.96,17.33,-19.38
13.01,1.14,16.93,-19.61
13.17,1.33,16.54,-19.79
13.33,1.52,16.12,-19.96
13.51,1.71,15.69,-20.07
13.68,1.92,15.28,-20.12
13.87,2.11,14.83,-20.06
14.07,2.32,14.38,-20.01
14.28,2.54,13.97,-20.09
14.51,2.77,13.59,-20.24
14.74,3.02,13.26,-20.37
14.97,3.33,13.01,-20.46
15.2,3.75,12.82,-20.48
15.43,4.08,12.63,-20.47
15.68,4.34,12.06,-20.51
15.97,4.46,11.85,-20.46
16.28,4.52,11.61,-20.46
16.56,4.51,11.39,-20.49
16.82,4.42,11.2,-20.55
17.07,4.32,10.98,-20.62
17.27,4.09,10.74,-20.69
17.42,3.79,10.53,-20.75
17.57,3.52,10.32,-20.8
17.67,3.14,10.07,-20.84
17.7,2.6,9.81,-20.88
17.63,1.87,9.56,-20.92
17.5,0.98,9.24,-20.93
17.33,-0.11,8.88,-20.87
17.16,-1.46,8.48,-20.79
17,-3.14,8.08,-20.69
16.82,-5.17,7.72,-20.58
16.59,-7.52,7.39,-20.45
16.26,-10.13,7.06,-20.35
15.82,-12.88,6.75,-20.27
15.28,-15.7,6.45,-20.2
14.63,-18.52,6.17,-20.15
13.9,-21.31,5.88,-20.09
13.13,-24.04,5.26,-20.06
12.36,-26.67,5.04,-19.91
11.56,-29.21,4.83,-19.74
10.74,-31.64,4.62,-19.57
9.95,-33.94,4,-19.55
9.13,-36.12,3.8,-19.33
8.23,-38.18,3.63,-19.11
7.27,-40.11,3.48,-18.86
6.24,-41.91,3.16,-18.64
5.18,-43.59,3.06,-18.37
4.09,-45.12,2.96,-18.08
2.92,-46.48,2.84,-17.77
1.69,-47.66,2.78,-17.45
0.84,-48.72,2.74,-17.16
0.27,-49.58,2.7,-16.89
-0.71,-50.25,2.68,-16.64
-1.28,-50.72,2.67,-16.4
-1.27,-51.02,2.68,-16.17
-0.8,-51.24,2.82,-15.82
0.04,-51.3,2.96,-15.54
0.39,-51.38,3.05,-15.37
0.99,-51.89,3.18,-15.21
1.86,-52.46,3.33,-15.1
2.69,-53.06,3.49,-15.04
3.3,-53.62,3.55,-14.98
3.65,-54.24,3.52,-14.77
4.1,-55.03,3.67,-14.7
4.52,-55.88,3.66,-14.54
4.57,-56.58,3.69,-14.43
4.44,-57.31,3.78,-14.4
4.27,-58.11,4.02,-14.34
4.09,-58.95,4.27,-14.26
3.82,-59.84,4.53,-14.18
3.4,-60.72,4.78,-14.1
2.76,-61.55,5.05,-14.04
1.99,-62.28,5.33,-13.99
1.22,-62.97,5.62,-13.96
0.46,-63.63,5.93,-13.95
-0.44,-64.3,6.01,-13.88
-1.65,-65.04,6.26,-13.87
-3.14,-65.82,6.56,-13.87
-4.9,-66.6,6.85,-13.79
-6.94,-67.39,7.12,-13.73
-9.01,-68.15,7.38,-13.67
-10.95,-68.87,7.62,-13.61
-12.55,-69.57,7.85,-13.56
-13.92,-70.27,8.07,-13.52
-15.27,-70.95,8.28,-13.48
-16.6,-71.6,8.48,-13.45
-17.65,-72.26,8.67,-13.41
-18.41,-72.93,8.86,-13.37
-18.9,-73.59,9.04,-13.31
-19.2,-74.24,9.21,-13.25
-19.32,-74.87,9.45,-13.22
-19.34,-75.51,9.59,-13.15
-19.42,-76.13,9.71,-13.07
-19.66,-76.72,9.84,-13.02
-20.15,-77.26,9.94,-12.95
-20.97,-77.74,10.02,-12.87
-22.27,-78.14,10.1,-12.79
-23.67,-78.48,10.18,-12.73
-24.91,-78.78,10.25,-12.66
-27.07,-79.03,10.31,-12.59
-28.06,-79.25,10.27,-12.56
-28.92,-79.45,10.33,-12.46
-32.66,-79.91,10.56,-12.3
-33.73,-80.09,10.74,-12.21
-34.61,-80.31,10.79,-12.11
-35.26,-80.56,10.82,-12
-35.75,-80.83,10.86,-11.91
-36.26,-81.1,10.88,-11.82
-36.85,-81.34,10.89,-11.73
-38.15,-81.49,10.9,-11.62
-40.86,-81.52,10.91,-11.5
-44.05,-81.5,10.91,-11.4
-45.5,-81.57,10.9,-11.32
-48.27,-81.34,10.93,-11.16
-49.79,-81.34,10.92,-11.05
-51.24,-81.31,10.86,-10.91
-52.49,-81.3,10.83,-10.75
-53.36,-81.33,10.8,-10.57
-53.91,-81.41,10.74,-10.4
-54.3,-81.52,10.69,-10.24
-54.55,-81.69,10.64,-10.07
-54.79,-81.87,10.58,-9.93
-54.41,-82.18,10.52,-9.8
-55.72,-82.25,10.45,-9.68
-57.3,-82.15,10.38,-9.56
-57.7,-82.17,10.32,-9.46
-58.21,-82.06,10.27,-9.36
-58.93,-81.79,10.22,-9.28
-59.78,-81.38,10.18,-9.21
-60.74,-80.88,10.14,-9.14
-61.47,-80.43,10.11,-9.03
-61.85,-80.09,10.13,-8.98
-62,-79.84,10.13,-8.93
-61.84,-79.68,10.13,-8.88
-61.38,-79.61,10.14,-8.84
-60.65,-79.61,10.15,-8.81
-59.89,-79.58,10.14,-8.77
-59.19,-79.49,10.15,-8.75
-59.19,-79.18,10.17,-8.74
-59.19,-78.8,10.19,-8.72
-59.36,-78.31,10.22,-8.72
-59.68,-77.72,10.24,-8.72
-60.04,-77.08,10.27,-8.71
-60.27,-76.49,10.31,-8.71
-60.15,-76.08,10.38,-8.7
-59.69,-75.85,10.42,-8.67
-59.03,-75.74,10.47,-8.64
-58.3,-75.67,10.52,-8.63
-57.62,-75.61,10.57,-8.63
-57.08,-75.67,10.65,-8.67
-56.78,-75.67,10.71,-8.69
-56.62,-75.59,10.76,-8.71
-56.58,-75.41,10.81,-8.74
-56.63,-75.12,10.89,-8.77
-56.69,-74.74,10.96,-8.79
-56.71,-74.34,11.03,-8.81
